OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
-1,0,325,0.012782024439238,1
-1,0,323,0.017558770465260,2
-1,0,326,0.028832214022378,3
-1,0,362,0.030314724586111,4
-1,0,322,0.038263090796873,5
-1,0,367,0.048125264384203,6
-1,0,321,0.048411870631600,7
-1,0,327,0.055026011119559,8
-1,0,363,0.056907392321788,9
-1,0,364,0.069661260531871,10
-1,1,447,0.002759811890399,1
-1,1,446,0.037109949543066,2
-1,1,445,0.039742049054997,3
-1,1,450,0.041783814710849,4
-1,1,444,0.043348904552200,5
-1,1,530,0.046040221317129,6
-1,1,449,0.047121533700495,7
-1,1,448,0.056019400809783,8
-1,1,482,0.071696912116853,9
-1,1,433,0.077149892297218,10
-1,2,321,0.023606490882115,1
-1,2,359,0.032200273093393,2
-1,2,362,0.042591937543657,3
-1,2,323,0.054266494712609,4
-1,2,355,0.055208081867996,5
-1,2,325,0.056522700501464,6
-1,2,356,0.057473866225913,7
-1,2,357,0.057478858438289,8
-1,2,316,0.059759460532115,9
-1,2,322,0.060296660230491,10
-1,3,326,0.021787149766283,1
-1,3,325,0.024290002899630,2
-1,3,323,0.026064615198396,3
-1,3,367,0.036349080206696,4
-1,3,322,0.040421377734878,5
-1,3,362,0.042068930636533,6
-1,3,327,0.048069182989788,7
-1,3,363,0.053225852932878,8
-1,3,321,0.058067291170462,9
-1,3,364,0.064262592859696,10
-1,4,391,0.012802351107275,1
-1,4,400,0.027273378970887,2
-1,4,393,0.028557105759966,3
-1,4,392,0.030379763001050,4
-1,4,481,0.033407334524024,5
-1,4,401,0.042891356938195,6
-1,4,390,0.044124440223073,7
-1,4,389,0.044443827075119,8
-1,4,455,0.053972585633817,9
-1,4,402,0.058984624287565,10
-1,5,447,0.018968175707420,1
-1,5,446,0.031322994748267,2
-1,5,445,0.033178908963393,3
-1,5,444,0.035283500556438,4
-1,5,450,0.040125152820745,5
-1,5,449,0.046693918233527,6
-1,5,530,0.047299382881823,7
-1,5,448,0.052074657944144,8
-1,5,482,0.069935398762017,9
-1,5,438,0.088106739583802,10
-1,6,215,0.025294430390320,1
-1,6,216,0.025635284038887,2
-1,6,227,0.028139669590984,3
-1,6,459,0.037916931226900,4
-1,6,230,0.053153016847591,5
-1,6,229,0.053348883400124,6
-1,6,214,0.054118111570902,7
-1,6,217,0.057603884248279,8
-1,6,228,0.058739306666152,9
-1,6,458,0.059258990676517,10
-1,7,526,0.000063694583752,1
-1,7,294,0.000895349093943,2
-1,7,545,0.004398408803192,3
-1,7,544,0.007570052839976,4
-1,7,563,0.016952669406322,5
-1,7,297,0.017593369318646,6
-1,7,293,0.019901874638767,7
-1,7,303,0.021489195901441,8
-1,7,305,0.026503631304009,9
-1,7,261,0.030403560895104,10
-1,8,361,0.000924627016692,1
-1,8,360,0.022003357950293,2
-1,8,376,0.030217331494009,3
-1,8,374,0.051234275884307,4
-1,8,375,0.053299376382773,5
-1,8,560,0.063063942946821,6
-1,8,362,0.065073932709749,7
-1,8,355,0.066287889755588,8
-1,8,357,0.069518787388721,9
-1,8,356,0.069694289006773,10
-1,9,418,0.011580155439369,1
-1,9,414,0.011800542362114,2
-1,9,416,0.040050939644188,3
-1,9,407,0.045070833140736,4
-1,9,417,0.049000102040710,5
-1,9,415,0.049100116503325,6
-1,9,403,0.052088325955549,7
-1,9,419,0.052621098430186,8
-1,9,404,0.052819255443140,9
-1,9,422,0.058482219520123,10
-1,10,417,0.005060632371554,1
-1,10,415,0.005283544325554,2
-1,10,416,0.006673988791003,3
-1,10,423,0.012995131728542,4
-1,10,422,0.025400196849628,5
-1,10,421,0.025528219679406,6
-1,10,541,0.026027101260025,7
-1,10,437,0.029331893904068,8
-1,10,419,0.035846896657858,9
-1,10,436,0.038371343474008,10
-1,11,389,0.007606931647097,1
-1,11,455,0.016559287424290,2
-1,11,400,0.017740406435300,3
-1,11,547,0.018395571477943,4
-1,11,390,0.022606782721122,5
-1,11,399,0.025066710992886,6
-1,11,391,0.031950426286254,7
-1,11,388,0.032682601724705,8
-1,11,398,0.033356657511819,9
-1,11,397,0.042137054753422,10
-1,12,389,0.017128440474356,1
-1,12,547,0.021287673663413,2
-1,12,455,0.023722773868165,3
-1,12,400,0.025261613972385,4
-1,12,399,0.025437374078323,5
-1,12,398,0.029532618582855,6
-1,12,390,0.032353352608347,7
-1,12,397,0.036810917718694,8
-1,12,388,0.037572217175665,9
-1,12,391,0.038127129919175,10
-1,13,390,0.006320587393588,1
-1,13,389,0.010217085547432,2
-1,13,455,0.014567086187699,3
-1,13,400,0.015431609134832,4
-1,13,547,0.023801093462259,5
-1,13,391,0.027911018646308,6
-1,13,388,0.029726622100311,7
-1,13,399,0.031790721916935,8
-1,13,392,0.040563160626375,9
-1,13,398,0.043971307921864,10
-1,14,397,0.006149138418705,1
-1,14,398,0.009668433190547,2
-1,14,399,0.022718494668442,3
-1,14,547,0.028758721285909,4
-1,14,455,0.038674280859507,5
-1,14,388,0.039204777457536,6
-1,14,389,0.041184056734176,7
-1,14,387,0.042746134217814,8
-1,14,390,0.053694938541733,9
-1,14,386,0.054597545751151,10
-1,15,530,0.014592354881926,1
-1,15,482,0.027550680572359,2
-1,15,446,0.032422985673762,3
-1,15,445,0.032756678708318,4
-1,15,444,0.034763937284418,5
-1,15,443,0.036077803440591,6
-1,15,441,0.049039301959131,7
-1,15,485,0.053007856445988,8
-1,15,447,0.053494978471529,9
-1,15,442,0.065141190041628,10
-1,16,401,0.007126043783195,1
-1,16,391,0.035122262567698,2
-1,16,400,0.035265875580933,3
-1,16,389,0.044150574640463,4
-1,16,402,0.044742851432891,5
-1,16,455,0.054426556018174,6
-1,16,390,0.055033806201278,7
-1,16,547,0.055230363478783,8
-1,16,399,0.059995499831235,9
-1,16,393,0.061498634679050,10
-1,17,407,0.015179591562359,1
-1,17,414,0.028377052701783,2
-1,17,418,0.028470686679462,3
-1,17,406,0.032886623420478,4
-1,17,405,0.033355718134836,5
-1,17,404,0.034592484871257,6
-1,17,420,0.039002663568153,7
-1,17,403,0.052542025130858,8
-1,17,419,0.053100847450865,9
-1,17,416,0.062026033553520,10
-1,18,397,0.032228699373264,1
-1,18,398,0.038105830004869,2
-1,18,399,0.049502525188115,3
-1,18,547,0.053376352910258,4
-1,18,401,0.059410642985926,5
-1,18,389,0.060340992377353,6
-1,18,455,0.062003951486981,7
-1,18,396,0.063973667240904,8
-1,18,388,0.066757958922473,9
-1,18,387,0.067802357824540,10
-1,19,402,0.002362753128105,1
-1,19,403,0.035601303527406,2
-1,19,401,0.038259541293650,3
-1,19,404,0.064233178323713,4
-1,19,393,0.065433569972797,5
-1,19,503,0.065602591412242,6
-1,19,391,0.065685078091409,7
-1,19,400,0.073199508881486,8
-1,19,418,0.074138586444570,9
-1,19,414,0.074340993805837,10
-1,20,401,0.025014126009118,1
-1,20,402,0.031731303256320,2
-1,20,503,0.050144192086424,3
-1,20,403,0.064565307595106,4
-1,20,391,0.065841519589648,5
-1,20,400,0.067405624101331,6
-1,20,389,0.074949825330575,7
-1,20,393,0.081638919550578,8
-1,20,547,0.083389166262768,9
-1,20,455,0.084570266642599,10
-1,21,299,0.004768452989544,1
-1,21,501,0.005830540338591,2
-1,21,301,0.005852349955353,3
-1,21,538,0.009563472172804,4
-1,21,302,0.012804009384658,5
-1,21,300,0.013776792079435,6
-1,21,296,0.017789041570579,7
-1,21,298,0.018873144081009,8
-1,21,537,0.020616983290479,9
-1,21,295,0.023160201375358,10
-1,22,304,0.001076528477336,1
-1,22,549,0.008502823060602,2
-1,22,303,0.011896017841707,3
-1,22,305,0.018779899421940,4
-1,22,527,0.021085777196961,5
-1,22,306,0.021107149500579,6
-1,22,563,0.023665185399680,7
-1,22,296,0.025385231927246,8
-1,22,484,0.026001730711629,9
-1,22,295,0.026415002058444,10
-1,23,433,0.032782867479225,1
-1,23,434,0.038265519727296,2
-1,23,437,0.049244085939331,3
-1,23,447,0.050224611115148,4
-1,23,436,0.051353870350732,5
-1,23,435,0.051583427571261,6
-1,23,438,0.059582938162594,7
-1,23,421,0.059635979073040,8
-1,23,422,0.059744539499439,9
-1,23,541,0.059785031571457,10
-1,24,434,0.025641567814779,1
-1,24,433,0.026828517666101,2
-1,24,436,0.035117232237178,3
-1,24,435,0.035284132411043,4
-1,24,437,0.036358492818050,5
-1,24,421,0.045505274419565,6
-1,24,541,0.045510987684296,7
-1,24,422,0.045631677593532,8
-1,24,423,0.052070816880870,9
-1,24,438,0.054900608376312,10
-1,25,231,0.024423963642299,1
-1,25,230,0.049579483660065,2
-1,25,228,0.049853578082448,3
-1,25,552,0.050657852945042,4
-1,25,218,0.051162105626778,5
-1,25,229,0.066554066442543,6
-1,25,523,0.080772767688129,7
-1,25,227,0.087717035202353,8
-1,25,216,0.094895491398447,9
-1,25,453,0.097550119385570,10
-1,26,229,0.010155112999865,1
-1,26,228,0.019619593666062,2
-1,26,227,0.019731567010521,3
-1,26,230,0.035683009962729,4
-1,26,231,0.045838084602198,5
-1,26,215,0.049256077886611,6
-1,26,216,0.054656803343724,7
-1,26,459,0.081460101556929,8
-1,26,217,0.084289573023535,9
-1,26,523,0.084494023457276,10
-1,27,229,0.009612812285696,1
-1,27,228,0.015836338201176,2
-1,27,227,0.023263413006051,3
-1,27,230,0.032956656383815,4
-1,27,231,0.042041527089293,5
-1,27,215,0.052788960292569,6
-1,27,216,0.055352459455331,7
-1,27,523,0.082753126829141,8
-1,27,459,0.083723350349012,9
-1,27,217,0.084152318331047,10
-1,28,227,0.008780875394288,1
-1,28,215,0.026350336027664,2
-1,28,229,0.034655308396265,3
-1,28,216,0.038741772336261,4
-1,28,228,0.043092369853849,5
-1,28,230,0.045990207653378,6
-1,28,459,0.056980068459639,7
-1,28,214,0.064565393207198,8
-1,28,231,0.065698249596151,9
-1,28,458,0.067175953852542,10
-1,29,227,0.004209120655209,1
-1,29,215,0.025760537431703,2
-1,29,229,0.031900983057595,3
-1,29,228,0.042570387073903,4
-1,29,216,0.044663274082345,5
-1,29,230,0.048930350499479,6
-1,29,459,0.061165933865708,7
-1,29,214,0.065128258075881,8
-1,29,231,0.066703673062281,9
-1,29,458,0.066880334747946,10
-1,30,265,0.002110638223302,1
-1,30,262,0.005184701589130,2
-1,30,263,0.008155749522489,3
-1,30,264,0.012867144013821,4
-1,30,260,0.014081193131269,5
-1,30,259,0.016759413300690,6
-1,30,272,0.021194631404193,7
-1,30,536,0.023503404008766,8
-1,30,268,0.025893210550304,9
-1,30,271,0.030186776680030,10