OBJECTID *,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,FID,Name,lat,lon,Res_ID,ID,FID,SKN,LAT,LON,Station_Na,UID,UID_X,UID_Y
1,-1,0,325,0.012782,1,-157.980722,21.497361,-157.993333,21.499444,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,325,828.0_R,21.499444,-157.993333,SCHOFIELD EAST,21.499444_-157.993333,-157.993333,21.499444
2,-1,0,323,0.017559,2,-157.980722,21.497361,-157.996056,21.488806,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,323,821.3_R,21.488806,-157.996056,"SFKaukonahuaRainGage,nrWaawa",21.488806_-157.996056,-157.996056,21.488806
3,-1,0,326,0.028832,3,-157.980722,21.497361,-157.970833,21.470278,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,326,832.2_R,21.470278,-157.970833,KipapaRaingagenrWaawa,21.470278_-157.970833,-157.970833,21.470278
4,-1,0,362,0.030315,4,-157.980722,21.497361,-158.008918,21.508495,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,362,874.3_R,21.508495,-158.008918,UPPER WAHIAWA 874.3,21.508495_-158.008918,-158.008918,21.508495
5,-1,0,322,0.038263,5,-157.980722,21.497361,-157.9991,21.4638,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,322,820.6_R,21.4638,-157.9991,Mililani,21.463800_-157.999100,-157.9991,21.4638
6,-1,0,367,0.048125,6,-157.980722,21.497361,-157.9369,21.47747,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,367,885.7_R,21.47747,-157.9369,OAHU FOREST NWR,21.477470_-157.936900,-157.9369,21.47747
7,-1,0,321,0.048412,7,-157.980722,21.497361,-158.02806,21.48722,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,321,810.1_R,21.48722,-158.02806,WHEELER ARMY AIR FIELD 810.1,21.487220_-158.028060,-158.02806,21.48722
8,-1,0,327,0.055026,8,-157.980722,21.497361,-157.9669,21.444099,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,327,834.13_R,21.444099,-157.9669,Waiawa CF,21.444099_-157.966900,-157.9669,21.444099
9,-1,0,363,0.056907,9,-157.980722,21.497361,-157.936694,21.533417,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,363,882.4_R,21.533417,-157.936694,PoamohoRainGageNo.2nrWaawa,21.533417_-157.936694,-157.936694,21.533417
10,-1,0,364,0.069661,10,-157.980722,21.497361,-157.921389,21.533861,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,364,883.12_R,21.533861,-157.921389,"PoamohoRainGageNo1,nrWaawa",21.533861_-157.921389,-157.921389,21.533861
11,-1,1,447,0.00276,1,-159.379056,22.178972,-159.377758,22.181408,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,447,1137.0_R,22.181408,-159.377758,KOLOKO RESERVOIR 113,22.181408_-159.377758,-159.377758,22.181408
12,-1,1,446,0.03711,2,-159.379056,22.178972,-159.4048,22.2057,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,446,1134.2_R,22.2057,-159.4048,KILAUEA 0.5 SE,22.205700_-159.404800,-159.4048,22.2057
13,-1,1,445,0.039742,3,-159.379056,22.178972,-159.4062,22.208,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,445,1134.1_R,22.208,-159.4062,KILAUEA 0.3 SE,22.208000_-159.406200,-159.4062,22.208
14,-1,1,450,0.041784,4,-159.379056,22.178972,-159.3375,22.183333,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,450,1146.0_R,22.183333,-159.3375,Moloaa Dairy,22.183333_-159.337500,-159.3375,22.183333
15,-1,1,444,0.043349,5,-159.379056,22.178972,-159.407202,22.211941,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,444,1134.0_R,22.211941,-159.407202,KILAUEA 1134,22.211941_-159.407202,-159.407202,22.211941
16,-1,1,530,0.04604,6,-159.379056,22.178972,-159.42123,22.197439,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,530,1132.11_R,22.197439,-159.42123,Common Ground 0602,22.197439_-159.421230,-159.42123,22.197439
17,-1,1,449,0.047122,7,-159.379056,22.178972,-159.33194,22.17972,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,449,1145.0_R,22.17972,-159.33194,MOLOAA 1145,22.179720_-159.331940,-159.33194,22.17972
18,-1,1,448,0.056019,8,-159.379056,22.178972,-159.3236,22.1869,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,448,1144.1_R,22.1869,-159.3236,ANAHOLA 2.8 N,22.186900_-159.323600,-159.3236,22.1869
19,-1,1,482,0.071697,9,-159.379056,22.178972,-159.443,22.2114,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,482,1117.9_R,22.2114,-159.443,PRINCEVILLE AIRPORT NEAR KILAUEA 4W,22.211400_-159.443000,-159.443,22.2114
20,-1,1,433,0.07715,10,-159.379056,22.178972,-159.3856,22.1021,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,433,1094.2_R,22.1021,-159.3856,Kapahi,22.102100_-159.385600,-159.3856,22.1021
21,-1,2,321,0.023606,1,-158.049778,21.496472,-158.02806,21.48722,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,321,810.1_R,21.48722,-158.02806,WHEELER ARMY AIR FIELD 810.1,21.487220_-158.028060,-158.02806,21.48722
22,-1,2,359,0.0322,2,-158.049778,21.496472,-158.081944,21.495,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,359,858.0_R,21.495,-158.081944,SCHOFIELD BARRACKS,21.495000_-158.081944,-158.081944,21.495
23,-1,2,362,0.042592,3,-158.049778,21.496472,-158.008918,21.508495,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,362,874.3_R,21.508495,-158.008918,UPPER WAHIAWA 874.3,21.508495_-158.008918,-158.008918,21.508495
24,-1,2,323,0.054266,4,-158.049778,21.496472,-157.996056,21.488806,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,323,821.3_R,21.488806,-157.996056,"SFKaukonahuaRainGage,nrWaawa",21.488806_-157.996056,-157.996056,21.488806
25,-1,2,355,0.055208,5,-158.049778,21.496472,-158.085583,21.538495,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,355,855.0_R,21.538495,-158.085583,KEMOO CAMP 8 855,21.538495_-158.085583,-158.085583,21.538495
26,-1,2,325,0.056523,6,-158.049778,21.496472,-157.993333,21.499444,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,325,828.0_R,21.499444,-157.993333,SCHOFIELD EAST,21.499444_-157.993333,-157.993333,21.499444
27,-1,2,356,0.057474,7,-158.049778,21.496472,-158.0893,21.5382,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,356,855.3_R,21.5382,-158.0893,Poamoho Exp Farm,21.538200_-158.089300,-158.0893,21.5382
28,-1,2,357,0.057479,8,-158.049778,21.496472,-158.08917,21.53833,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,357,855.4_R,21.53833,-158.08917,POAMOHO EXPERIMENTAL FARM 855,21.538330_-158.089170,-158.08917,21.53833
29,-1,2,316,0.059759,9,-158.049778,21.496472,-158.107222,21.48,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,316,799.0_R,21.48,-158.107222,WAIAWA PHB,21.480000_-158.107222,-158.107222,21.48
30,-1,2,322,0.060297,10,-158.049778,21.496472,-157.9991,21.4638,2,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.496472,-158.049778,OA-0017,USGS_16210000,322,820.6_R,21.4638,-157.9991,Mililani,21.463800_-157.999100,-157.9991,21.4638
31,-1,3,326,0.021787,1,-157.970194,21.492056,-157.970833,21.470278,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,326,832.2_R,21.470278,-157.970833,KipapaRaingagenrWaawa,21.470278_-157.970833,-157.970833,21.470278
32,-1,3,325,0.02429,2,-157.970194,21.492056,-157.993333,21.499444,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,325,828.0_R,21.499444,-157.993333,SCHOFIELD EAST,21.499444_-157.993333,-157.993333,21.499444
33,-1,3,323,0.026065,3,-157.970194,21.492056,-157.996056,21.488806,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,323,821.3_R,21.488806,-157.996056,"SFKaukonahuaRainGage,nrWaawa",21.488806_-157.996056,-157.996056,21.488806
34,-1,3,367,0.036349,4,-157.970194,21.492056,-157.9369,21.47747,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,367,885.7_R,21.47747,-157.9369,OAHU FOREST NWR,21.477470_-157.936900,-157.9369,21.47747
35,-1,3,322,0.040421,5,-157.970194,21.492056,-157.9991,21.4638,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,322,820.6_R,21.4638,-157.9991,Mililani,21.463800_-157.999100,-157.9991,21.4638
36,-1,3,362,0.042069,6,-157.970194,21.492056,-158.008918,21.508495,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,362,874.3_R,21.508495,-158.008918,UPPER WAHIAWA 874.3,21.508495_-158.008918,-158.008918,21.508495
37,-1,3,327,0.048069,7,-157.970194,21.492056,-157.9669,21.444099,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,327,834.13_R,21.444099,-157.9669,Waiawa CF,21.444099_-157.966900,-157.9669,21.444099
38,-1,3,363,0.053226,8,-157.970194,21.492056,-157.936694,21.533417,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,363,882.4_R,21.533417,-157.936694,PoamohoRainGageNo.2nrWaawa,21.533417_-157.936694,-157.936694,21.533417
39,-1,3,321,0.058067,9,-157.970194,21.492056,-158.02806,21.48722,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,321,810.1_R,21.48722,-158.02806,WHEELER ARMY AIR FIELD 810.1,21.487220_-158.028060,-158.02806,21.48722
40,-1,3,364,0.064263,10,-157.970194,21.492056,-157.921389,21.533861,3,"Reservoir near Wahiawa, Oahu, HI",21.492056,-157.970194,OA-0156,USGS_213320158061401,364,883.12_R,21.533861,-157.921389,"PoamohoRainGageNo1,nrWaawa",21.533861_-157.921389,-157.921389,21.533861
41,-1,4,391,0.012802,1,-159.4496,21.9091,-159.462206,21.906865,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,391,936.0_R,21.906865,-159.462206,KOLOA 936,21.906865_-159.462206,-159.462206,21.906865
42,-1,4,400,0.027273,2,-159.4496,21.9091,-159.4768,21.907101,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,400,992.1_R,21.907101,-159.4768,Omao,21.907101_-159.476800,-159.4768,21.907101
43,-1,4,393,0.028557,3,-159.4496,21.9091,-159.422207,21.90103,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,393,941.1_R,21.90103,-159.422207,MAHAULEPU 941.1,21.901030_-159.422207,-159.422207,21.90103
44,-1,4,392,0.03038,4,-159.4496,21.9091,-159.4518,21.8788,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,392,940.2_R,21.8788,-159.4518,KOLOA 2.1 SSE,21.878800_-159.451800,-159.4518,21.8788
45,-1,4,481,0.033407,5,-159.4496,21.9091,-159.429,21.8828,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,481,940.3_R,21.8828,-159.429,POIPU,21.882800_-159.429000,-159.429,21.8828
46,-1,4,401,0.042891,6,-159.4496,21.9091,-159.46694,21.94833,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,401,994.0_R,21.94833,-159.46694,KOLOA MAUKA 994,21.948330_-159.466940,-159.46694,21.94833
47,-1,4,390,0.044124,7,-159.4496,21.9091,-159.489633,21.890544,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,390,935.0_R,21.890544,-159.489633,KUKUIULA 935,21.890544_-159.489633,-159.489633,21.890544
48,-1,4,389,0.044444,8,-159.4496,21.9091,-159.493872,21.905198,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
49,-1,4,455,0.053973,9,-159.4496,21.9091,-159.5026,21.8989,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
50,-1,4,402,0.058985,10,-159.4496,21.9091,-159.430537,21.964919,4,Waita,21.9091,-159.4496,KA-0099,USGS_213133158014201,402,1006.0_R,21.964919,-159.430537,HALENANAHO 1006,21.964919_-159.430537,-159.430537,21.964919
51,-1,5,447,0.018968,1,-159.374,22.2,-159.377758,22.181408,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,447,1137.0_R,22.181408,-159.377758,KOLOKO RESERVOIR 113,22.181408_-159.377758,-159.377758,22.181408
52,-1,5,446,0.031323,2,-159.374,22.2,-159.4048,22.2057,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,446,1134.2_R,22.2057,-159.4048,KILAUEA 0.5 SE,22.205700_-159.404800,-159.4048,22.2057
53,-1,5,445,0.033179,3,-159.374,22.2,-159.4062,22.208,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,445,1134.1_R,22.208,-159.4062,KILAUEA 0.3 SE,22.208000_-159.406200,-159.4062,22.208
54,-1,5,444,0.035284,4,-159.374,22.2,-159.407202,22.211941,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,444,1134.0_R,22.211941,-159.407202,KILAUEA 1134,22.211941_-159.407202,-159.407202,22.211941
55,-1,5,450,0.040125,5,-159.374,22.2,-159.3375,22.183333,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,450,1146.0_R,22.183333,-159.3375,Moloaa Dairy,22.183333_-159.337500,-159.3375,22.183333
56,-1,5,449,0.046694,6,-159.374,22.2,-159.33194,22.17972,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,449,1145.0_R,22.17972,-159.33194,MOLOAA 1145,22.179720_-159.331940,-159.33194,22.17972
57,-1,5,530,0.047299,7,-159.374,22.2,-159.42123,22.197439,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,530,1132.11_R,22.197439,-159.42123,Common Ground 0602,22.197439_-159.421230,-159.42123,22.197439
58,-1,5,448,0.052075,8,-159.374,22.2,-159.3236,22.1869,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,448,1144.1_R,22.1869,-159.3236,ANAHOLA 2.8 N,22.186900_-159.323600,-159.3236,22.1869
59,-1,5,482,0.069935,9,-159.374,22.2,-159.443,22.2114,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,482,1117.9_R,22.2114,-159.443,PRINCEVILLE AIRPORT NEAR KILAUEA 4W,22.211400_-159.443000,-159.443,22.2114
60,-1,5,438,0.088107,10,-159.374,22.2,-159.312,22.1374,5,Waiakalua,22.2,-159.374,KA-0010,USGS_213308158035601,438,1111.4_R,22.1374,-159.312,Anahola,22.137400_-159.312000,-159.312,22.1374
61,-1,6,215,0.025294,1,-156.3559,20.8873,-156.373849,20.905122,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,215,406.0_R,20.905122,-156.373849,PAIA 406,20.905122_-156.373849,-156.373849,20.905122
62,-1,6,216,0.025635,2,-156.3559,20.8873,-156.340518,20.866793,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,216,423.0_R,20.866793,-156.340518,HALIIMAILE 423,20.866793_-156.340518,-156.340518,20.866793
63,-1,6,227,0.02814,3,-156.3559,20.8873,-156.345517,20.913454,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,227,485.0_R,20.913454,-156.345517,HAMAKUAPOKO 485,20.913454_-156.345517,-156.345517,20.913454
64,-1,6,459,0.037917,4,-156.3559,20.8873,-156.380516,20.85846,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,459,410.0_R,20.85846,-156.380516,KEAHUA 410,20.858460_-156.380516,-156.380516,20.85846
65,-1,6,230,0.053153,5,-156.3559,20.8873,-156.30306,20.89306,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,230,490.7_R,20.89306,-156.30306,KUIAHA 490.7,20.893060_-156.303060,-156.30306,20.89306
66,-1,6,229,0.053349,6,-156.3559,20.8873,-156.3225,20.9289,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,229,489.0_R,20.9289,-156.3225,Haiku,20.928900_-156.322500,-156.3225,20.9289
67,-1,6,214,0.054118,7,-156.3559,20.8873,-156.41,20.8887,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,214,398.0_R,20.8887,-156.41,KAHULUI AIRPORT,20.888700_-156.410000,-156.41,20.8887
68,-1,6,217,0.057604,8,-156.3559,20.8873,-156.3307,20.835501,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,217,426.6_R,20.835501,-156.3307,Pukalani,20.835501_-156.330700,-156.3307,20.835501
69,-1,6,228,0.058739,9,-156.3559,20.8873,-156.307185,20.92012,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,228,486.7_R,20.92012,-156.307185,HAIKU 3.2 SE,20.920120_-156.307185,-156.307185,20.92012
70,-1,6,458,0.059259,10,-156.3559,20.8873,-156.41427,20.897526,6,HC&S #24,20.8873,-156.3559,MA-0073,USGS_16206600,458,400.0_R,20.897526,-156.41427,SPRECKELSVILLE 400,20.897526_-156.414270,-156.41427,20.897526
71,-1,7,526,0.000064,1,-157.8368,21.3391,-157.836859,21.339124,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,526,775.11_R,21.339124,-157.836859,Nuuanu Res1 0502,21.339124_-157.836859,-157.836859,21.339124
72,-1,7,294,0.000895,2,-157.8368,21.3391,-157.835905,21.339125,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,294,775.0_R,21.339125,-157.835905,NUUANU RES 5 775,21.339125_-157.835905,-157.835905,21.339125
73,-1,7,545,0.004398,3,-157.8368,21.3391,-157.84092,21.33756,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,545,775.13_R,21.33756,-157.84092,Waolani 0504,21.337560_-157.840920,-157.84092,21.33756
74,-1,7,544,0.00757,4,-157.8368,21.3391,-157.83641,21.34666,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,544,775.12_R,21.34666,-157.83641,Upper Waolani 0503,21.346660_-157.836410,-157.83641,21.34666
75,-1,7,563,0.016953,5,-157.8368,21.3391,-157.83063,21.35489,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,563,775.14_R,21.35489,-157.83063,Napuumaia 0505,21.354890_-157.830630,-157.83063,21.35489
76,-1,7,297,0.017593,6,-157.8368,21.3391,-157.823923,21.327112,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,297,780.5_R,21.327112,-157.823923,TANTALUS 2 780.5,21.327112_-157.823923,-157.823923,21.327112
77,-1,7,293,0.019902,7,-157.8368,21.3391,-157.8567,21.339334,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,293,773.0_R,21.339334,-157.8567,KAPALAMA 773,21.339334_-157.856700,-157.8567,21.339334
78,-1,7,303,0.021489,8,-157.8368,21.3391,-157.8184,21.350201,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,303,782.3_R,21.350201,-157.8184,Nuuanu Upper,21.350201_-157.818400,-157.8184,21.350201
79,-1,7,305,0.026504,9,-157.8368,21.3391,-157.81059,21.335166,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,305,784.0_R,21.335166,-157.81059,PAUOA FLATS 784,21.335166_-157.810590,-157.81059,21.335166
80,-1,7,261,0.030404,10,-157.8368,21.3391,-157.846146,21.310169,7,Nuuanu No 1,21.3391,-157.8368,OA-0154,EDD00214,261,709.0_R,21.310169,-157.846146,PUNCHBOWL CRATER 709,21.310169_-157.846146,-157.846146,21.310169
81,-1,8,361,0.000925,1,-158.0277,21.5708,-158.027805,21.569881,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,361,870.0_R,21.569881,-158.027805,OPAEULA 870,21.569881_-158.027805,-158.027805,21.569881
82,-1,8,360,0.022003,2,-158.0277,21.5708,-158.013056,21.587222,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,360,869.0_R,21.587222,-158.013056,KAWAILOA TRAINING AREA,21.587222_-158.013056,-158.013056,21.587222
83,-1,8,376,0.030217,3,-158.0277,21.5708,-158.016917,21.599028,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,376,897.9_R,21.599028,-158.016917,PupukeaRdRainGageatalt,21.599028_-158.016917,-158.016917,21.599028
84,-1,8,374,0.051234,4,-158.0277,21.5708,-158.015025,21.620442,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,374,897.1_R,21.620442,-158.015025,KamananuiRaingagenrMaunawai,21.620442_-158.015025,-158.015025,21.620442
85,-1,8,375,0.053299,5,-158.0277,21.5708,-158.014306,21.622389,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,375,897.11_R,21.622389,-158.014306,KamananuiRainGageatalt,21.622389_-158.014306,-158.014306,21.622389
86,-1,8,560,0.063064,6,-158.0277,21.5708,-158.04065,21.63252,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,560,892.3_R,21.63252,-158.04065,Kalahee Ridge 0551,21.632520_-158.040650,-158.04065,21.63252
87,-1,8,362,0.065074,7,-158.0277,21.5708,-158.008918,21.508495,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,362,874.3_R,21.508495,-158.008918,UPPER WAHIAWA 874.3,21.508495_-158.008918,-158.008918,21.508495
88,-1,8,355,0.066288,8,-158.0277,21.5708,-158.085583,21.538495,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,355,855.0_R,21.538495,-158.085583,KEMOO CAMP 8 855,21.538495_-158.085583,-158.085583,21.538495
89,-1,8,357,0.069519,9,-158.0277,21.5708,-158.08917,21.53833,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,357,855.4_R,21.53833,-158.08917,POAMOHO EXPERIMENTAL FARM 855,21.538330_-158.089170,-158.08917,21.53833
90,-1,8,356,0.069694,10,-158.0277,21.5708,-158.0893,21.5382,8,Opaeula 01,21.5708,-158.0277,OA-0018,EDD00CC6,356,855.3_R,21.5382,-158.0893,Poamoho Exp Farm,21.538200_-158.089300,-158.0893,21.5382
91,-1,9,418,0.01158,1,-159.3963,22.017,-159.387,22.0239,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,418,1062.1_R,22.0239,-159.387,LIHUE VRTY STA 1062.1,22.023900_-159.387000,-159.387,22.0239
92,-1,9,414,0.011801,2,-159.3963,22.017,-159.3868,22.024,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,414,1059.0_R,22.024,-159.3868,Lihue Variety Stn,22.024000_-159.386800,-159.3868,22.024
93,-1,9,416,0.040051,3,-159.3963,22.017,-159.400536,22.056826,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,416,1061.0_R,22.056826,-159.400536,Ekw 5,22.056826_-159.400536,-159.400536,22.056826
94,-1,9,407,0.045071,4,-159.3963,22.017,-159.3586,21.9923,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,407,1022.1_R,21.9923,-159.3586,LIHUE 1.2 NNW,21.992300_-159.358600,-159.3586,21.9923
