OBJECTID *,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,FID,Name,lat,lon,Res_ID,ID,FID,SKN,LAT,LON,Station_Na,UID,UID_X,UID_Y
95,-1,9,417,0.049,5,-159.3963,22.017,-159.3962,22.066,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,417,1061.5_R,22.066,-159.3962,Wailua UH Exp Stn,22.066000_-159.396200,-159.3962,22.066
96,-1,9,415,0.0491,6,-159.3963,22.017,-159.396,22.066099,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,415,1060.0_R,22.066099,-159.396,Wailua UH Exp Stn,22.066099_-159.396000,-159.396,22.066099
97,-1,9,403,0.052088,7,-159.3963,22.017,-159.397205,21.96492,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,403,1013.0_R,21.96492,-159.397205,PUHI 1013,21.964920_-159.397205,-159.397205,21.96492
98,-1,9,419,0.052621,8,-159.3963,22.017,-159.365,22.0593,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,419,1063.2_R,22.0593,-159.365,"KAPAA 2.7 SSW, HI US",22.059300_-159.365000,-159.365,22.0593
99,-1,9,404,0.052819,9,-159.3963,22.017,-159.368873,21.97186,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,404,1020.0_R,21.97186,-159.368873,LIHUE 1020,21.971860_-159.368873,-159.368873,21.97186
100,-1,9,422,0.058482,10,-159.3963,22.017,-159.3767,22.0721,9,Kapaia,22.017,-159.3963,KA-0012,EDD01162,422,1065.2_R,22.0721,-159.3767,"KAPAA 2.3 SW, HI US",22.072100_-159.376700,-159.3767,22.0721
101,-1,10,417,0.005061,1,-159.4006,22.0635,-159.3962,22.066,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,417,1061.5_R,22.066,-159.3962,Wailua UH Exp Stn,22.066000_-159.396200,-159.3962,22.066
102,-1,10,415,0.005284,2,-159.4006,22.0635,-159.396,22.066099,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,415,1060.0_R,22.066099,-159.396,Wailua UH Exp Stn,22.066099_-159.396000,-159.396,22.066099
103,-1,10,416,0.006674,3,-159.4006,22.0635,-159.400536,22.056826,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,416,1061.0_R,22.056826,-159.400536,Ekw 5,22.056826_-159.400536,-159.400536,22.056826
104,-1,10,423,0.012995,4,-159.4006,22.0635,-159.395889,22.075611,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,423,1068.0_R,22.075611,-159.395889,LBOpaekaaRainGagenrKapaa,22.075611_-159.395889,-159.395889,22.075611
105,-1,10,422,0.0254,5,-159.4006,22.0635,-159.3767,22.0721,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,422,1065.2_R,22.0721,-159.3767,"KAPAA 2.3 SW, HI US",22.072100_-159.376700,-159.3767,22.0721
106,-1,10,421,0.025528,6,-159.4006,22.0635,-159.3766,22.0722,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,421,1065.1_R,22.0722,-159.3766,"KAPAA 2.3 SW, HI US",22.072200_-159.376600,-159.3766,22.0722
107,-1,10,541,0.026027,7,-159.4006,22.0635,-159.376,22.072,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,541,1065.3_R,22.072,-159.376,Kapaa HI US F9608-FW9608,22.072000_-159.376000,-159.376,22.072
108,-1,10,437,0.029332,8,-159.4006,22.0635,-159.3786,22.0829,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,437,1097.4_R,22.0829,-159.3786,KAPAA 1.9 WSW,22.082900_-159.378600,-159.3786,22.0829
109,-1,10,419,0.035847,9,-159.4006,22.0635,-159.365,22.0593,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,419,1063.2_R,22.0593,-159.365,"KAPAA 2.7 SSW, HI US",22.059300_-159.365000,-159.365,22.0593
110,-1,10,436,0.038371,10,-159.4006,22.0635,-159.3662,22.0805,10,Wailua,22.0635,-159.4006,KA-0060,EDD024F8,436,1097.3_R,22.0805,-159.3662,KAPAA 1.4 SW,22.080500_-159.366200,-159.3662,22.0805
111,-1,11,389,0.007607,1,-159.4936,21.9128,-159.493872,21.905198,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
112,-1,11,455,0.016559,2,-159.4936,21.9128,-159.5026,21.8989,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
113,-1,11,400,0.01774,3,-159.4936,21.9128,-159.4768,21.907101,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,400,992.1_R,21.907101,-159.4768,Omao,21.907101_-159.476800,-159.4768,21.907101
114,-1,11,547,0.018396,4,-159.4936,21.9128,-159.510395,21.905295,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,547,934.2_R,21.905295,-159.510395,Lawai NTBG 0621,21.905295_-159.510395,-159.510395,21.905295
115,-1,11,390,0.022607,5,-159.4936,21.9128,-159.489633,21.890544,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,390,935.0_R,21.890544,-159.489633,KUKUIULA 935,21.890544_-159.489633,-159.489633,21.890544
116,-1,11,399,0.025067,6,-159.4936,21.9128,-159.5181,21.9075,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,399,986.3_R,21.9075,-159.5181,KALAHEO 1.1 SSE,21.907500_-159.518100,-159.5181,21.9075
117,-1,11,391,0.03195,7,-159.4936,21.9128,-159.462206,21.906865,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,391,936.0_R,21.906865,-159.462206,KOLOA 936,21.906865_-159.462206,-159.462206,21.906865
118,-1,11,388,0.032683,8,-159.4936,21.9128,-159.517207,21.890197,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,388,931.0_R,21.890197,-159.517207,WEST LAWAI 931,21.890197_-159.517207,-159.517207,21.890197
119,-1,11,398,0.033357,9,-159.4936,21.9128,-159.5265,21.918301,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,398,986.2_R,21.918301,-159.5265,Kalaheo,21.918301_-159.526500,-159.5265,21.918301
120,-1,11,397,0.042137,10,-159.4936,21.9128,-159.533872,21.925198,11,Aepo,21.9128,-159.4936,KA-0103,EDD02A2A,397,985.0_R,21.925198,-159.533872,BRYDESWOOD STA 985,21.925198_-159.533872,-159.533872,21.925198
121,-1,12,389,0.017128,1,-159.4972,21.922,-159.493872,21.905198,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
122,-1,12,547,0.021288,2,-159.4972,21.922,-159.510395,21.905295,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,547,934.2_R,21.905295,-159.510395,Lawai NTBG 0621,21.905295_-159.510395,-159.510395,21.905295
123,-1,12,455,0.023723,3,-159.4972,21.922,-159.5026,21.8989,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
124,-1,12,400,0.025262,4,-159.4972,21.922,-159.4768,21.907101,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,400,992.1_R,21.907101,-159.4768,Omao,21.907101_-159.476800,-159.4768,21.907101
125,-1,12,399,0.025437,5,-159.4972,21.922,-159.5181,21.9075,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,399,986.3_R,21.9075,-159.5181,KALAHEO 1.1 SSE,21.907500_-159.518100,-159.5181,21.9075
126,-1,12,398,0.029533,6,-159.4972,21.922,-159.5265,21.918301,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,398,986.2_R,21.918301,-159.5265,Kalaheo,21.918301_-159.526500,-159.5265,21.918301
127,-1,12,390,0.032353,7,-159.4972,21.922,-159.489633,21.890544,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,390,935.0_R,21.890544,-159.489633,KUKUIULA 935,21.890544_-159.489633,-159.489633,21.890544
128,-1,12,397,0.036811,8,-159.4972,21.922,-159.533872,21.925198,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,397,985.0_R,21.925198,-159.533872,BRYDESWOOD STA 985,21.925198_-159.533872,-159.533872,21.925198
129,-1,12,388,0.037572,9,-159.4972,21.922,-159.517207,21.890197,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,388,931.0_R,21.890197,-159.517207,WEST LAWAI 931,21.890197_-159.517207,-159.517207,21.890197
130,-1,12,391,0.038127,10,-159.4972,21.922,-159.462206,21.906865,12,Huinawai,21.922,-159.4972,KA-0104,EDD0378E,391,936.0_R,21.906865,-159.462206,KOLOA 936,21.906865_-159.462206,-159.462206,21.906865
131,-1,13,390,0.006321,1,-159.4882,21.8967,-159.489633,21.890544,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,390,935.0_R,21.890544,-159.489633,KUKUIULA 935,21.890544_-159.489633,-159.489633,21.890544
132,-1,13,389,0.010217,2,-159.4882,21.8967,-159.493872,21.905198,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
133,-1,13,455,0.014567,3,-159.4882,21.8967,-159.5026,21.8989,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
134,-1,13,400,0.015432,4,-159.4882,21.8967,-159.4768,21.907101,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,400,992.1_R,21.907101,-159.4768,Omao,21.907101_-159.476800,-159.4768,21.907101
135,-1,13,547,0.023801,5,-159.4882,21.8967,-159.510395,21.905295,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,547,934.2_R,21.905295,-159.510395,Lawai NTBG 0621,21.905295_-159.510395,-159.510395,21.905295
136,-1,13,391,0.027911,6,-159.4882,21.8967,-159.462206,21.906865,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,391,936.0_R,21.906865,-159.462206,KOLOA 936,21.906865_-159.462206,-159.462206,21.906865
137,-1,13,388,0.029727,7,-159.4882,21.8967,-159.517207,21.890197,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,388,931.0_R,21.890197,-159.517207,WEST LAWAI 931,21.890197_-159.517207,-159.517207,21.890197
138,-1,13,399,0.031791,8,-159.4882,21.8967,-159.5181,21.9075,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,399,986.3_R,21.9075,-159.5181,KALAHEO 1.1 SSE,21.907500_-159.518100,-159.5181,21.9075
139,-1,13,392,0.040563,9,-159.4882,21.8967,-159.4518,21.8788,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,392,940.2_R,21.8788,-159.4518,KOLOA 2.1 SSE,21.878800_-159.451800,-159.4518,21.8788
140,-1,13,398,0.043971,10,-159.4882,21.8967,-159.5265,21.918301,13,Aepoeha,21.8967,-159.4882,KA-0112,EDD0395C,398,986.2_R,21.918301,-159.5265,Kalaheo,21.918301_-159.526500,-159.5265,21.918301
141,-1,14,397,0.006149,1,-159.5283,21.9278,-159.533872,21.925198,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,397,985.0_R,21.925198,-159.533872,BRYDESWOOD STA 985,21.925198_-159.533872,-159.533872,21.925198
142,-1,14,398,0.009668,2,-159.5283,21.9278,-159.5265,21.918301,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,398,986.2_R,21.918301,-159.5265,Kalaheo,21.918301_-159.526500,-159.5265,21.918301
143,-1,14,399,0.022718,3,-159.5283,21.9278,-159.5181,21.9075,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,399,986.3_R,21.9075,-159.5181,KALAHEO 1.1 SSE,21.907500_-159.518100,-159.5181,21.9075
144,-1,14,547,0.028759,4,-159.5283,21.9278,-159.510395,21.905295,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,547,934.2_R,21.905295,-159.510395,Lawai NTBG 0621,21.905295_-159.510395,-159.510395,21.905295
145,-1,14,455,0.038674,5,-159.5283,21.9278,-159.5026,21.8989,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
146,-1,14,388,0.039205,6,-159.5283,21.9278,-159.517207,21.890197,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,388,931.0_R,21.890197,-159.517207,WEST LAWAI 931,21.890197_-159.517207,-159.517207,21.890197
147,-1,14,389,0.041184,7,-159.5283,21.9278,-159.493872,21.905198,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
148,-1,14,387,0.042746,8,-159.5283,21.9278,-159.557208,21.896311,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,387,930.0_R,21.896311,-159.557208,WAHIAWA 930,21.896311_-159.557208,-159.557208,21.896311
149,-1,14,390,0.053695,9,-159.5283,21.9278,-159.489633,21.890544,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,390,935.0_R,21.890544,-159.489633,KUKUIULA 935,21.890544_-159.489633,-159.489633,21.890544
150,-1,14,386,0.054598,10,-159.5283,21.9278,-159.577209,21.903534,14,Elua,21.9278,-159.5283,KA-0117,EDD0411E,386,927.0_R,21.903534,-159.577209,ELEELE 927,21.903534_-159.577209,-159.577209,21.903534
151,-1,15,530,0.014592,1,-159.431,22.1866,-159.42123,22.197439,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,530,1132.11_R,22.197439,-159.42123,Common Ground 0602,22.197439_-159.421230,-159.42123,22.197439
152,-1,15,482,0.027551,2,-159.431,22.1866,-159.443,22.2114,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,482,1117.9_R,22.2114,-159.443,PRINCEVILLE AIRPORT NEAR KILAUEA 4W,22.211400_-159.443000,-159.443,22.2114
153,-1,15,446,0.032423,3,-159.431,22.1866,-159.4048,22.2057,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,446,1134.2_R,22.2057,-159.4048,KILAUEA 0.5 SE,22.205700_-159.404800,-159.4048,22.2057
154,-1,15,445,0.032757,4,-159.431,22.1866,-159.4062,22.208,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,445,1134.1_R,22.208,-159.4062,KILAUEA 0.3 SE,22.208000_-159.406200,-159.4062,22.208
155,-1,15,444,0.034764,5,-159.431,22.1866,-159.407202,22.211941,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,444,1134.0_R,22.211941,-159.407202,KILAUEA 1134,22.211941_-159.407202,-159.407202,22.211941
156,-1,15,443,0.036078,6,-159.431,22.1866,-159.466389,22.179583,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,443,1131.7_R,22.179583,-159.466389,HanaleiRainGageatHanalei,22.179583_-159.466389,-159.466389,22.179583
157,-1,15,441,0.049039,7,-159.431,22.1866,-159.472201,22.213196,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,441,1117.0_R,22.213196,-159.472201,PRINCEVILLE RANCH 1117,22.213196_-159.472201,-159.472201,22.213196
158,-1,15,485,0.053008,8,-159.431,22.1866,-159.474314,22.217157,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,485,1118.8_R,22.217157,-159.474314,PRINCEVILLE 0.8 ESE,22.217157_-159.474314,-159.474314,22.217157
159,-1,15,447,0.053495,9,-159.431,22.1866,-159.377758,22.181408,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,447,1137.0_R,22.181408,-159.377758,KOLOKO RESERVOIR 113,22.181408_-159.377758,-159.377758,22.181408
160,-1,15,442,0.065141,10,-159.431,22.1866,-159.4951,22.1982,15,Kalihiwai,22.1866,-159.431,KA-0024,EDD04FCC,442,1117.8_R,22.1982,-159.4951,Hanalei,22.198200_-159.495100,-159.4951,22.1982
161,-1,16,401,0.007126,1,-159.4686,21.9414,-159.46694,21.94833,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,401,994.0_R,21.94833,-159.46694,KOLOA MAUKA 994,21.948330_-159.466940,-159.46694,21.94833
162,-1,16,391,0.035122,2,-159.4686,21.9414,-159.462206,21.906865,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,391,936.0_R,21.906865,-159.462206,KOLOA 936,21.906865_-159.462206,-159.462206,21.906865
163,-1,16,400,0.035266,3,-159.4686,21.9414,-159.4768,21.907101,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,400,992.1_R,21.907101,-159.4768,Omao,21.907101_-159.476800,-159.4768,21.907101
164,-1,16,389,0.044151,4,-159.4686,21.9414,-159.493872,21.905198,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
165,-1,16,402,0.044743,5,-159.4686,21.9414,-159.430537,21.964919,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,402,1006.0_R,21.964919,-159.430537,HALENANAHO 1006,21.964919_-159.430537,-159.430537,21.964919
166,-1,16,455,0.054427,6,-159.4686,21.9414,-159.5026,21.8989,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
167,-1,16,390,0.055034,7,-159.4686,21.9414,-159.489633,21.890544,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,390,935.0_R,21.890544,-159.489633,KUKUIULA 935,21.890544_-159.489633,-159.489633,21.890544
168,-1,16,547,0.05523,8,-159.4686,21.9414,-159.510395,21.905295,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,547,934.2_R,21.905295,-159.510395,Lawai NTBG 0621,21.905295_-159.510395,-159.510395,21.905295
169,-1,16,399,0.059995,9,-159.4686,21.9414,-159.5181,21.9075,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,399,986.3_R,21.9075,-159.5181,KALAHEO 1.1 SSE,21.907500_-159.518100,-159.5181,21.9075
170,-1,16,393,0.061499,10,-159.4686,21.9414,-159.422207,21.90103,16,Mauka,21.9414,-159.4686,KA-0119,EDD05268,393,941.1_R,21.90103,-159.422207,MAHAULEPU 941.1,21.901030_-159.422207,-159.422207,21.90103
171,-1,17,407,0.01518,1,-159.3647,22.0062,-159.3586,21.9923,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,407,1022.1_R,21.9923,-159.3586,LIHUE 1.2 NNW,21.992300_-159.358600,-159.3586,21.9923
172,-1,17,414,0.028377,2,-159.3647,22.0062,-159.3868,22.024,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,414,1059.0_R,22.024,-159.3868,Lihue Variety Stn,22.024000_-159.386800,-159.3868,22.024
173,-1,17,418,0.028471,3,-159.3647,22.0062,-159.387,22.0239,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,418,1062.1_R,22.0239,-159.387,LIHUE VRTY STA 1062.1,22.023900_-159.387000,-159.387,22.0239
174,-1,17,406,0.032887,4,-159.3647,22.0062,-159.338,21.987,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,406,1020.6_R,21.987,-159.338,LIHUE 1.3 NE,21.987000_-159.338000,-159.338,21.987
175,-1,17,405,0.033356,5,-159.3647,22.0062,-159.342206,21.98157,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,405,1020.1_R,21.98157,-159.342206,LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1,21.981570_-159.342206,-159.342206,21.98157
176,-1,17,404,0.034592,6,-159.3647,22.0062,-159.368873,21.97186,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,404,1020.0_R,21.97186,-159.368873,LIHUE 1020,21.971860_-159.368873,-159.368873,21.97186
177,-1,17,420,0.039003,7,-159.3647,22.0062,-159.340538,22.036817,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,420,1065.0_R,22.036817,-159.340538,WAILUA KAI 1065,22.036817_-159.340538,-159.340538,22.036817
178,-1,17,403,0.052542,8,-159.3647,22.0062,-159.397205,21.96492,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,403,1013.0_R,21.96492,-159.397205,PUHI 1013,21.964920_-159.397205,-159.397205,21.96492
179,-1,17,419,0.053101,9,-159.3647,22.0062,-159.365,22.0593,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,419,1063.2_R,22.0593,-159.365,"KAPAA 2.7 SSW, HI US",22.059300_-159.365000,-159.365,22.0593
180,-1,17,416,0.062026,10,-159.3647,22.0062,-159.400536,22.056826,17,Okinawa,22.0062,-159.3647,KA-0014,EDD05CBA,416,1061.0_R,22.056826,-159.400536,Ekw 5,22.056826_-159.400536,-159.400536,22.056826
181,-1,18,397,0.032229,1,-159.5258,21.9564,-159.533872,21.925198,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,397,985.0_R,21.925198,-159.533872,BRYDESWOOD STA 985,21.925198_-159.533872,-159.533872,21.925198
182,-1,18,398,0.038106,2,-159.5258,21.9564,-159.5265,21.918301,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,398,986.2_R,21.918301,-159.5265,Kalaheo,21.918301_-159.526500,-159.5265,21.918301
183,-1,18,399,0.049503,3,-159.5258,21.9564,-159.5181,21.9075,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,399,986.3_R,21.9075,-159.5181,KALAHEO 1.1 SSE,21.907500_-159.518100,-159.5181,21.9075
184,-1,18,547,0.053376,4,-159.5258,21.9564,-159.510395,21.905295,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,547,934.2_R,21.905295,-159.510395,Lawai NTBG 0621,21.905295_-159.510395,-159.510395,21.905295
185,-1,18,401,0.059411,5,-159.5258,21.9564,-159.46694,21.94833,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,401,994.0_R,21.94833,-159.46694,KOLOA MAUKA 994,21.948330_-159.466940,-159.46694,21.94833
186,-1,18,389,0.060341,6,-159.5258,21.9564,-159.493872,21.905198,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,389,934.0_R,21.905198,-159.493872,EAST LAWAI 934,21.905198_-159.493872,-159.493872,21.905198
187,-1,18,455,0.062004,7,-159.5258,21.9564,-159.5026,21.8989,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,455,934.1_R,21.8989,-159.5026,LAWAI 1.8 S,21.898900_-159.502600,-159.5026,21.8989
188,-1,18,396,0.063974,8,-159.5258,21.9564,-159.5866,21.936501,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,396,966.4_R,21.936501,-159.5866,Hanapepe,21.936501_-159.586600,-159.5866,21.936501
189,-1,18,388,0.066758,9,-159.5258,21.9564,-159.517207,21.890197,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,388,931.0_R,21.890197,-159.517207,WEST LAWAI 931,21.890197_-159.517207,-159.517207,21.890197
190,-1,18,387,0.067802,10,-159.5258,21.9564,-159.557208,21.896311,18,Alexander,21.9564,-159.5258,KA-0098,EDD067F2,387,930.0_R,21.896311,-159.557208,WAHIAWA 930,21.896311_-159.557208,-159.557208,21.896311
191,-1,19,402,0.002363,1,-159.4328,21.9656,-159.430537,21.964919,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,402,1006.0_R,21.964919,-159.430537,HALENANAHO 1006,21.964919_-159.430537,-159.430537,21.964919
192,-1,19,403,0.035601,2,-159.4328,21.9656,-159.397205,21.96492,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,403,1013.0_R,21.96492,-159.397205,PUHI 1013,21.964920_-159.397205,-159.397205,21.96492
193,-1,19,401,0.03826,3,-159.4328,21.9656,-159.46694,21.94833,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,401,994.0_R,21.94833,-159.46694,KOLOA MAUKA 994,21.948330_-159.466940,-159.46694,21.94833
194,-1,19,404,0.064233,4,-159.4328,21.9656,-159.368873,21.97186,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,404,1020.0_R,21.97186,-159.368873,LIHUE 1020,21.971860_-159.368873,-159.368873,21.97186
195,-1,19,393,0.065434,5,-159.4328,21.9656,-159.422207,21.90103,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,393,941.1_R,21.90103,-159.422207,MAHAULEPU 941.1,21.901030_-159.422207,-159.422207,21.90103
196,-1,19,503,0.065603,6,-159.4328,21.9656,-159.4651,22.0227,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,503,1052.3_R,22.0227,-159.4651,Waiahi Rain Gage,22.022700_-159.465100,-159.4651,22.0227
197,-1,19,391,0.065685,7,-159.4328,21.9656,-159.462206,21.906865,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,391,936.0_R,21.906865,-159.462206,KOLOA 936,21.906865_-159.462206,-159.462206,21.906865
198,-1,19,400,0.0732,8,-159.4328,21.9656,-159.4768,21.907101,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,400,992.1_R,21.907101,-159.4768,Omao,21.907101_-159.476800,-159.4768,21.907101
199,-1,19,418,0.074139,9,-159.4328,21.9656,-159.387,22.0239,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,418,1062.1_R,22.0239,-159.387,LIHUE VRTY STA 1062.1,22.023900_-159.387000,-159.387,22.0239
200,-1,19,414,0.074341,10,-159.4328,21.9656,-159.3868,22.024,19,Halenanahu,21.9656,-159.4328,KA-0121,EDD06920,414,1059.0_R,22.024,-159.3868,Lihue Variety Stn,22.024000_-159.386800,-159.3868,22.024
201,-1,20,401,0.025014,1,-159.4613,21.9727,-159.46694,21.94833,20,Papuaa,21.9727,-159.4613,KA-0120,EDD07484,401,994.0_R,21.94833,-159.46694,KOLOA MAUKA 994,21.948330_-159.466940,-159.46694,21.94833
